timestamp,event,num_intruders,ids,confidences,snapshot
2026-08-28 10:47:27,TRACK_INTRUSION,2,0;1,1.00;0.82,C:\Users\jitsu\OneDrive\Desktop\People Detection\alerts_video\intrusion_20260828_104727_185_TRACK.jpg
2026-08-28 10:47:29,TRACK_INTRUSION,2,0;1,1.00;0.81,C:\Users\jitsu\OneDrive\Desktop\People Detection\alerts_video\intrusion_20260828_104729_257_TRACK.jpg
